"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Andorre","AND","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","100","","100","","100","100","100","100","100","100","100","100","100","100","100","100","99.014778137207","99.5073928833008","97.5369491577148","97.5369491577148","95.6310653686523","96.1352691650391","95.6521759033203","95.6521759033203","96.1352691650391","93.6274490356445","","",
"Andorre","AND","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56321668624878","","1.52875912189484","","1.53565549850464","","1.43712818622589","1.42226195335388","1.56307661533356","1.52818155288696","1.32997930049896","1.30550646781921","1.32532179355621","1.32293725013733","1.32430839538574","1.36045336723328","1.43383765220642","1.40662503242493","1.16595566272736","1.19445466995239","1.17644572257996","1.16151881217957","1.04703915119171","1.1081018447876","1.08533525466919","1.03249990940094","1.10678911209106","0.996939778327942","","",
"Andorre","AND","Exportations de haute technologie ($ US courants)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33447890","17938621","10402351","19545650","18990190","19714197","21595662","18015813","18000092","21707609","24238350","33883932","37391323","36290169","36063879","49533520","51383658","","",
"Andorre","AND","Exportations de marchandises vers les pays en développement situés dans la région (% des exportations totales de marchandises)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Exportations de marchandises vers les pays en développement d’Asie du Sud (% des exportations totales de marchandises)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Exportations de marchandises vers les pays en développement de l’Asie de l’Est et du Pacifique (% des exportations totales de marchandises)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Exportations de marchandises vers des économies du monde arabe (% des importations totales de marchandises)","TX.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Exportations de biens en TIC (% du total des exportations de biens)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.07","7.79","8.66","14.17","25.68","18.85","14.73","26.4","18.28","16.13","24.99","20.67","22.8","24.1","21.65","21.6","24.2","22.54","26.38","30.06","21.3","21.09","12.56","","","",
"Andorre","AND","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9","93.3","92.4","94.1","95.4","103.4","116.9","107.6","110.7","106.2","110.7","117.1","117.1","115.8","114.3","100","102.6","103.8","103.5","102.4","105.1","109.5","116.5","117.1","118.8","",
"Andorre","AND","Services de voyage (% des importations de services commerciaux)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.311616970503","25.9857136414562","29.2006659740405","27.4136602577474","35.4187424048444","37.9754069722148","",
"Andorre","AND","Indice de la valeur des importations (2000=100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.2640231448","82.037182121","82.0320225659","82.251781379","83.3760926484","78.2189269986","80.5459852091","92.7202536338","116.9555100004","136.1732507558","139.4","138.3","148.6","148.3","124","119.2","125.2","109.8","115.1","120.4","100","104.8","114.1","123.3","117.2","93.8","120.6","143.2","153.4","","",
"Andorre","AND","Importations de marchandises des pays en développement de l’Afrique subsaharienne (% des importations totales de marchandises)","TM.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Importations de marchandises des pays en développement d’Europe et d’Asie centrale (% des importations totales de marchandises)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorre","AND","Importations de marchandises ($ US courants)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1556000000","1294000000","1354000000","1478000000","1609000000","1539000000","1495000000","1563000000","1864000000","1995000000","2033000000","",
"Andorre","AND","Assurances et services financiers (% des importations de services commerciaux)","TM.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85212677831396","5.83082918652699","7.16776956527229","7.18898202555503","6.65155019092878","6.47464914953227","",
