"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Îles Anglo-Normandes","CHI","Survie jusqu’à 65 ans, femmes (% de cohorte)","SP.DYN.TO65.FE.ZS","83.6163326103076","82.9571819552454","83.795058181543","85.2706991522859","83.3224833394584","82.3691394324921","83.1762190992828","83.3870862705238","83.1862186762478","82.9101913740785","82.9451590807993","83.6933063117124","83.5615834408286","84.8935215919144","85.0915854536195","84.8338305284143","84.6746541321685","84.9183890677391","84.8284956333739","85.0834934388019","85.7644327553134","86.488590820096","84.6241195918595","87.3356453015433","87.603237808617","88.0303365249661","87.5218514325425","88.0907210834704","88.7553643043591","88.9056412536117","88.0949696899892","89.1934036394141","89.4071438953799","88.9754777461256","88.8535900877874","89.8467524787255","89.6702690637145","90.3375801378055","90.7096741443604","90.7777648272151","90.9033696886358","91.0828343729893","91.2317045712647","91.3893543250127","91.836827788942","92.0713910092571","92.3694534560287","92.5291843761343","92.6699128775826","92.867891225952","93.0373837127609","93.2069078270396","93.115319295043","93.3002593819917","93.3415997668515","93.1931645842329","93.0402977194464","92.9402642607202","93.0153125900706","92.9832816049409","92.8130954516141","92.1873897887019","92.7385565127133","92.7461226956811","","",
"Îles Anglo-Normandes","CHI","Espérance de vie à la naissance, femmes (années)","SP.DYN.LE00.FE.IN","75.4","74.9","75.5","76.7","75.2","74.5","75.1","75.2","75.1","74.9","74.9","75.4","75.3","76.2","76.4","76.2","76.1","76.2","76.2","76.3","76.8","77.4","76","78","78.2","78.6","78.1","78.6","79.2","79.3","78.6","79.5","79.7","79.3","79.2","80.1","79.9","80.6","80.9","81","81.1","81.3","81.4","81.6","82.1","82.3","82.6","82.8","83","83.2","83.4","83.6","83.5","83.7","83.8","83.6","83.4","83.3","83.5","83.4","83.2","82.5","83.2","83.2","","",
"Îles Anglo-Normandes","CHI","Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Anglo-Normandes","CHI","Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","SP.DYN.AMRT.MA","164","180","176","183","173","173","163","168","178","176","175","175","173","166","173","169","166","162","157","158","147","154","155","135","131","132","124","122","121","112","109","114","104","106","100","96","92","90","87","79","83","82","80","77","74","71","69","67","66","64","62","61","61","60","60","61","62","64","64","63","65","69","63","63","","",
"Îles Anglo-Normandes","CHI","Prevalence of severe food insecurity in the population (%)","SN.ITK.SVFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Anglo-Normandes","CHI","Stock international de migrants (% de la population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1","","","","","41.7","","","","","43.4","","","","","46.3","","","","","48.9","","","","","50.4","","","","","50.6","","","","50.9","",
"Îles Anglo-Normandes","CHI","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Anglo-Normandes","CHI","Migration nette","SM.POP.NETM","385","685","709","683","734","793","841","928","934","944","1034","1073","1067","986","931","810","456","254","249","241","249","1012","1357","1175","1264","1245","1185","1116","1081","1096","1392","311","-109","-39","-184","-291","236","296","267","207","169","679","802","774","768","810","805","765","745","764","742","705","741","696","721","432","307","666","890","900","858","933","820","860","747","675",
"Îles Anglo-Normandes","CHI","Asylum-seekers by country or territory of asylum","SM.POP.ASYS.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Anglo-Normandes","CHI","Chômage, total (% de la population) (estimation modélisée OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.679","6.121","7.082","7.235","6.974","6.897","6.685","6.278","5.91","5.351","5.041","5.313","5.644","5.848","5.833","5.571","5.23","5.295","6.674","7.024","7.244","8.028","8.572","8.319","7.928","7.469","6.881","6.344","6.185","6.633","6.643","5.923","5.928","6.031","6.169",
