"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"République dominicaine","DOM","Risque de de dépenses appauvrissantes en cas de recours nécessaire à la chirurgie (% de la pop. à risque)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2","31.2","28.6","28.7","22.4","20.7","20.4","17.6","17.6","15.4","17.2","12.7","12.5","12.7","9","9.7","7.6","6.3","5.2","7.5","","","",
"République dominicaine","DOM","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8","","","","","16.4","","15.5","","","14.3","","","","","12.5","","","","","11","10.7","10.5","","","",
"République dominicaine","DOM","Nombre de décès maternels","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","520","500","490","470","460","450","430","410","390","370","330","300","260","230","200","170","150","150","150","160","170","180","190","200","210","200","200","190","200","200","220","230","220","230","250","250","320","250","250","","",
"République dominicaine","DOM","Personnel chirurgical spécialisé (pour 100 000 hab.)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"République dominicaine","DOM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.32869076728821","","","","","","","","","","2.63940000534058","","","","","2.50149989128113","","","","","","","","","","","","","","","1.8812999725","","","2","","","1.5","","","","","","","","","","","1.2","1.58","1.45","1.6","1.58","1.73","1.72","1.52","1.51","1.37","1.48","1.24","1.25","1.42","1.51","1.51","0.75","","",
"République dominicaine","DOM","Couverture des traitements antirétroviraux chez les femmes enceintes (% des femmes enceintes séropositives)","SH.HIV.PMTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2","3","13","22","24","31","38","35","29","41","51","39","44","37","39","35","33","29","23","39","51","68","68","",
"République dominicaine","DOM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","1.2","1.3","1.4","1.4","1.4","1.2","1.1","0.99","0.95","0.93","0.86","0.83","0.78","0.72","0.68","0.64","0.58","0.54","0.52","0.49","0.45","0.43","0.41","0.4","0.38","0.39","0.42","0.42","0.43","0.44","0.43","0.39","0.37","0.36","",
"République dominicaine","DOM","Couverture de la thérapie antirétrovirale (% des personnes vivant avec le VIH)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","3","6","10","13","16","20","23","26","28","31","34","36","39","42","45","48","54","61","62","66","",
"République dominicaine","DOM","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0551891967046","42.1929683858684","42.3283976195034","42.5170831205046","42.7242209802434","42.924730083772","43.1192016536985","43.3073461961175","43.4892443827553","43.6640119171661","43.8326055152035","43.9823600766955","44.1182120498298","44.2488556156278","44.3746075148443","44.4956592094362","44.6119637650712","44.7232594060218","44.8279264288818","44.9262038494009","45.0183335613895","45.1047648137829","45.1857198571577","45.2614190293945","45.3324070681699","",
"République dominicaine","DOM","People using at least basic drinking water services, urban (% of urban population)","SH.H2O.BASW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7807890726148","96.8229921609553","96.8651841712845","96.9073651036024","96.9495349579091","96.9916937342044","97.0338414324885","97.0759780527613","97.1181035950228","97.160218059273","97.202321445512","97.2444137537396","97.286494983956","97.3285651361611","97.3706242103549","97.4126722065374","97.4547091247086","97.4967349648686","97.5387497270172","97.5807534111546","97.6227460172807","97.9539820716207","97.9436111570215","97.9332402424222","97.922869327823","",
