"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Guyana","GUY","Survie jusqu’à 65 ans, femmes (% de cohorte)","SP.DYN.TO65.FE.ZS","53.503889","54.173859","54.73837","55.279271","55.750305","55.847949","56.205897","56.490073","56.788239","57.067227","57.335856","57.590906","57.798774","58.023464","58.222891","58.421102","58.624214","58.990591","59.236141","59.480092","59.621127","59.910253","60.174716","60.534877","60.802065","61.068383","61.23636","61.59923","61.872945","62.178593","62.516485","62.884336","64.023052","64.187227","64.174588","63.526726","63.850917","64.479066","65.577602","66.041693","66.531397","67.0916","66.327525","66.142588","66.538199","66.46703","66.960591","68.168853","68.677401","69.288696","69.813697","70.404467","70.386099","71.137823","72.347495","72.971442","73.616101","74.428407","74.874888","75.298858","73.588172","65.078908","76.721148","77.170975","","",
"Guyana","GUY","Espérance de vie à la naissance, femmes (années)","SP.DYN.LE00.FE.IN","60.104","60.541","60.908","61.24","61.52","61.615","61.814","61.972","62.129","62.273","62.406","62.528","62.624","62.724","62.81","62.895","62.982","63.145","63.254","63.363","63.425","63.555","63.677","63.847","63.98","64.123","64.233","64.447","64.632","64.842","65.073","65.315","65.922","66.055","66.086","65.805","65.984","66.319","66.898","67.181","67.486","67.837","67.51","67.48","67.736","67.704","68.032","68.689","68.979","69.349","69.672","70.035","70.061","70.499","71.173","71.527","71.897","72.369","72.615","72.848","71.884","67.975","73.672","73.944","","",
"Guyana","GUY","Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","29.5","","","","","","","","","","","","","","","","","38.2","","","","","","","","37.29240488","","","","","34.6","","34.16822215","","42.5","","","","","33.89188879","","","","","","29.8771395174816","","","","","",
"Guyana","GUY","Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","SP.DYN.AMRT.MA","401.23","396.57","391.303","386.779","381.794","378.495","376.053","372.082","369.293","366.551","364.16","362.006","360.993","359.451","356.978","355.488","354.003","352.542","351.157","349.9","348.688","347.673","346.955","345.483","345.566","345.041","343.525","342.572","342.273","340.392","339.032","337.549","336.53","333.815","337.284","348.129","353.069","354.281","345.93","340.864","337.43","334.642","339.332","343.965","347.356","341.781","334.708","325.65","323.026","319.638","319.214","316.184","317.976","316.271","306.179","299.69","294.672","287.22","282.886","278.567","303.789","379.019","269.194","265.074","","",
"Guyana","GUY","Prevalence of severe food insecurity in the population (%)","SN.ITK.SVFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.7","4.7","","",
"Guyana","GUY","Stock international de migrants (% de la population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.8","","","","","1.1","","","","","1.4","","","","","1.1","","","","","1.1","","","","","3.9","","","","6.5","",
"Guyana","GUY","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","59","54","37","38","47","35","36","50","75","191","405","535","676","707","724","746","768","800","800","700","508","269","260","283","284","267","285","250","248","313","",
"Guyana","GUY","Migration nette","SM.POP.NETM","-3837","-5267","-5379","-5434","-5437","-5347","-5277","-5192","-5071","-4969","-8439","-10142","-10448","-10731","-11012","-11231","-11445","-11636","-11841","-12138","-13952","-16648","-17959","-19075","-19702","-20337","-20647","-20848","-20860","-20870","-20930","-14949","-12844","-13137","-13426","-13614","-13871","-14019","-14155","-14115","-14090","-14050","-13116","-11551","-11938","-12290","-12575","-12906","-13143","-13425","-13655","-13920","-7152","-6907","-6710","-6527","-6309","-6107","30213","-20603","-1743","-689","-6161","-6161","-5407","-5092",
"Guyana","GUY","Asylum-seekers by country or territory of asylum","SM.POP.ASYS.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","12","57","72","94","163","55","52","",
"Guyana","GUY","Chômage, total (% de la population) (estimation modélisée OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.092","11.9","11.617","11.534","11.566","11.542","11.565","11.687","11.771","11.917","11.796","11.81","11.529","11.281","11.085","10.7","10.84","11.018","11.307","11.632","11.811","12.029","12.296","12.637","13.009","13.263","13.466","13.627","13.172","15.308","14.576","11.907","11.917","11.874","11.962",
"Guyana","GUY","Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.408","15.156","14.801","14.724","14.786","14.78","14.832","15.002","15.129","15.329","15.21","15.253","14.791","14.374","14.024","13.458","13.557","13.699","13.969","14.279","14.419","14.597","14.823","15.133","15.475","15.685","15.838","15.971","14.658","16.697","15.971","13.299","13.288","13.229","13.442",
"Guyana","GUY","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, hommes (% de la population masculine de 15-24 ans)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.787","38.281","","","","","","",
"Guyana","GUY","Chômage dans la population avec un niveau d’études intermédiaire (% de la population active dans cette catégorie)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.171","16.096","","","","","","",
"Guyana","GUY","Chômage dans la population avec un niveau d’études de base, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.624","12.7","","","","","","",
"Guyana","GUY","Chômage dans la population avec un niveau d’études supérieur, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.392","5.995","","","","","","",
"Guyana","GUY","Chômage, jeunes hommes (% de la population active masculine de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.21","","","","","20.8","","","","","","","","","","20.63","","","","","","","","","","","","","","","","20.047","22.401","","","","","","",
"Guyana","GUY","Population active, femmes (% de la population active)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1444311751827","32.5265827447702","32.9250563604823","33.2962196203963","33.0281402865282","32.7559490288121","32.477224098011","32.1925043010715","31.8986324841013","31.5984611255256","31.2938386234041","30.9886214648638","30.6884502094806","31.2085616762371","31.7826569693638","32.3639997411915","32.9469199424308","33.5330764700456","34.1215882643346","34.7152911965941","35.3156127627198","35.9211148507691","36.6470285024372","37.4905520359504","38.3305922736237","39.1635006761268","39.9877449742611","40.8059897227278","41.0540247091249","40.995277390296","41.290762374045","41.4529885510179","43.5389260159955","44.3066463412725","44.8283828992847","44.9360540219541",
"Guyana","GUY","Population active avec un niveau d’études intermédiaire (% de la population active totale)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.954","64.878","","","","","","",
"Guyana","GUY","Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale)","SL.TLF.CACT.NE.ZS","31.18","","","","","","","","","","","","","","","","","","","","57.32","","","","","","","60.38","","","","","","59.53","","","","","","","","","56.15","","","","","","","","","","","","","","","","55.008","50.871","","","","","","",
"Guyana","GUY","Taux d’activité des femmes par rapport aux hommes (%) (estimation nationale)","SL.TLF.CACT.FM.NE.ZS","29.3788819875776","","","","","","","","","","","","","","","","","","","","31.8767826583001","","","","","","","40.9864536297325","","","","","","48.3986203498399","","","","","","","","","43.4538970962812","","","","","","","","","","","","","","","","64.4496229887787","64.1728067511628","","","","","","",
"Guyana","GUY","Population active avec un niveau d’études de base, hommes (% de la population active masculine)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.118","69.64","","","","","","",
"Guyana","GUY","Population active avec un niveau d’études supérieur, femmes (% de la population active féminine)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.072","77.433","","","","","","",
"Guyana","GUY","Taux de participation à la population active des 15-24 ans, total (%) (estimation modélisée OIT)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.522","52.21","51.909","51.631","51.321","51.014","50.71","50.408","50.108","49.809","49.51","49.212","48.912","48.968","49","49.033","49.065","49.097","49.132","49.169","49.211","49.257","49.293","49.325","49.37","49.423","49.481","49.544","49.698","44.721","42.631","43.337","47.64","48.759","49.531","49.401",
