"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Jamaïque","JAM","Taux de mortalité infantile, filles (pour 1 000 naissances vivantes)","SP.DYN.IMRT.FE.IN","58.3","55.9","53.8","51.9","50.2","48.8","47.4","46.1","44.7","43.2","41.7","40","38.4","36.8","35.3","34","32.8","31.6","30.6","29.6","28.7","27.8","26.9","26.1","25.3","24.6","24","23.4","22.8","22.2","21.7","21.2","20.7","20.2","19.6","19","18.5","17.9","17.4","16.8","16.4","16","15.7","15.6","15.5","15.5","15.5","15.6","15.6","15.7","15.7","15.6","15.6","15.6","15.5","15.4","15.4","15.5","15.5","15.6","15.7","15.8","15.9","16","","",
"Jamaïque","JAM","Taux de naissance, brut (pour 1 000 personnes)","SP.DYN.CBRT.IN","40.506","40.015","39.427","39.235","38.876","37.778","37.013","36.346","35.405","34.54","33.788","33.148","32.568","32.621","31.26","30.536","29.823","29.18","28.741","28.573","28.27","28.285","28.405","28.57","28.322","27.741","27.109","26.616","26.34","25.948","26.153","26.475","26.664","26.209","25.615","24.814","24.034","23.134","22.178","21.194","20.131","19.675","19.43","19.189","18.795","18.357","17.85","17.308","16.734","16.161","15.555","14.93","14.409","13.979","13.62","13.318","12.941","12.593","12.305","12.169","12.016","11.954","11.855","11.623","","",
"Jamaïque","JAM","Taux de couverture de la supplémentation en vitamine A (% des enfants de 6 à 59 mois)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jamaïque","JAM","Prévalence de la sous-alimentation (% de la population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","6.7","6.8","6.9","7.1","7.3","7.9","8.5","8.6","8.2","7.8","7.7","7.7","7.5","8","7.6","7.3","6.3","6.7","7","7.6","7.5","7.7","","",
"Jamaïque","JAM","Refugees under the mandate of the UNRWA by country or territory of asylum","SM.POP.RRWA.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jamaïque","JAM","Other people in need of international protection by country or territory of asylum","SM.POP.OPIP.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","67","67","0","","","",
"Jamaïque","JAM","Asylum-seekers by country or territory of origin","SM.POP.ASYS.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","281","479","410","285","288","270","236","401","574","554","579","497","630","597","839","1134","1430","1495","1798","1902","2305","3345","7064","9460","",
"Jamaïque","JAM","Travail des enfants, travail salarié, filles (en % de toutes les formes d’emploi chez les filles de 7 à 14 ans)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.33","","","","","","16.64","","","","","","","","","","","","","","",
"Jamaïque","JAM","Chômage, hommes (% de la population active masculine) (estimation nationale)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","11.21","12.93","","13.71","","18.44","13.8","15.62","","","18.68","","","13.17","","9.31","9.51","9.49","10.87","9.59","10.83","9.97","10.42","10.02","10.01","10.168","10.23","9.845","8.083","8.145","7.637","7.013","6.088","4.931","5.898","5.946","6.276","6.672","7.404","6.978","9.899","6.374","5.477","4.242","3.831","5.729","4.231","3.192","2.24","","",
"Jamaïque","JAM","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","SL.UEM.NEET.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.385","28.363","28.082","27.836","30.704","31.609","31.524","32.302","33.782","32.959","31.498","29.764","27.877","26.058","22.908","29.665","26.052","21.79","19.696","19.851","20.005",
"Jamaïque","JAM","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","SL.UEM.NEET.FE.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.882","34.861","34.523","34.225","35.409","35.696","35.811","36.536","38.552","37.324","35.274","32.761","31.317","28.84","24.952","31.532","27.927","22.647","20.282","20.467","20.651",
"Jamaïque","JAM","Chômage dans la population avec un niveau d’études de base (% de la population active dans cette catégorie)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.372","5.499","5.795","6.209","6.671","6.866","5.623","","5.122","4.859","3.634","2.952","3.245","2.921","2.146","1.389","","",
"Jamaïque","JAM","Chômage dans la population avec un niveau d’études supérieur, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.667","3.502","4.862","3.99","3.749","5.022","4.956","","4.798","4.75","3.36","2.229","3.804","2.542","2.206","1.757","","",
"Jamaïque","JAM","Chômage, jeunes hommes (% de la population active masculine de 15 à 24 ans) (estimation modélisée OIT)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.779","11.14","11.025","11.28","11.365","11.902","12.123","12.457","12.575","12.597","12.547","12.595","12.556","12.699","12.817","12.914","12.967","13.115","15.607","16.824","16.081","17.531","20.848","19.974","20.068","19.956","17.71","15.018","12.553","17.673","14.479","12.294","8.832","9.236","9.073",
"Jamaïque","JAM","Population active, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1089166","1097915","1105739","1112355","1119074","1125977","1133199","1140810","1149014","1153549","1160690","1167448","1177364","1186996","1202433","1215552","1228512","1241668","1254836","1229928","1214581","1239415","1255850","1296517","1327826","1405947","1407680","1437450","1446091","1491205","1457816","1490454","1544707","1595299","1602871","1612761",
