"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Cambodge","KHM","Taux de mortalité infantile (pour 1 000 naissances vivantes)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","245.5","235.2","216.1","137.5","122.1","108.6","98.2","91.7","88.3","86.8","86.2","86.3","86.8","87.6","88.4","89.1","90.1","91.6","93.2","94.8","95.7","95.8","94.8","92","86.7","79.4","71.8","65","59.3","54.5","50.5","47.1","43.8","40.6","37.7","35.1","32.8","30.8","29.1","27.7","26.5","25.4","24.4","23.5","22.6","21.9","21.1","20.3","","",
"Cambodge","KHM","Taux de mortalité, brut (pour 1 000 personnes)","SP.DYN.CDRT.IN","21.087","20.667","20.245","19.825","19.474","19.101","18.731","18.491","18.183","17.915","23.509","23.094","22.704","22.357","21.727","86.572","90.595","92.984","93.923","19.369","16.591","16.692","16.433","16.117","15.881","15.442","14.903","13.683","13.241","12.843","12.501","12.235","11.869","11.689","11.311","10.853","10.43","9.861","9.538","9.111","8.7","8.303","7.936","7.58","7.261","6.999","6.793","6.649","6.516","6.384","6.26","6.145","6.067","6.036","6.01","6.015","6.033","6.067","6.126","6.189","6.341","6.827","6.323","6.39","","",
"Cambodge","KHM","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","SP.ADO.TFRT","81.996","83.72","85.256","86.524","87.35","86.488","86.072","86.243","86.661","86.697","86.293","85.278","82.699","75.201","58.993","47.068","36.385","26.87","41.074","57.548","75.691","77.717","78.562","79.788","74.908","69.053","67.744","72.5","77.846","78.164","84.514","91.541","96.633","87.32","78.843","65.208","53.766","52.698","54.096","53.484","54.734","56.35","52.181","50.286","45.903","44.582","46.624","47.422","46.006","46.478","49.114","50.152","53.533","55.19","54.465","53.572","52.522","51.735","51.007","50.2","48.594","47.847","47.089","46.89","","",
"Cambodge","KHM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6","37.1","36.9","36.4","38.6","41.9","43.4","43.2","40","","",
"Cambodge","KHM","Refugees under the mandate of the UNRWA by country or territory of origin","SM.POP.RRWA.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodge","KHM","Other people in need of international protection by country or territory of origin","SM.POP.OPIP.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodge","KHM","Forcibly displaced people","SM.POP.FDIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","106","95","70","97","98","231","105","0","27","12","36","36","29","28","",
"Cambodge","KHM","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.74","","","18.78","","","","","","","","","","","","","",
"Cambodge","KHM","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.581","0.565","0.554","0.766","0.747","0.737","0.639","0.711","0.721","0.734","0.764","0.846","0.89","1.007","1.082","1.202","1.32","0.791","0.6","0.747","0.678","0.515","0.363","0.689","0.334","0.59","0.109","0.098","0.088","0.136","0.378","0.253","0.301","0.298","0.294",
"Cambodge","KHM","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.042","11.243","21.08","6.388","10.342","6.133","","10.323","","","","8.053","8.627","7.13","5.305","5.104","12.718","6.34","6.318","6.592","6.414","6.46","","11.383","5.692","6.188","","6.315","","",
"Cambodge","KHM","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, femmes (% de la population féminine de 15-24 ans)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.967","14.685","25.23","8.804","13.473","8.269","","13.729","","","","11.546","12.703","10.7","8.149","7.549","15.194","10.262","9.735","10.763","10.026","9.762","","12.592","7.252","8.114","","8.342","","",
"Cambodge","KHM","Chômage dans la population avec un niveau d’études intermédiaire, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.853","4.423","","3.061","","","","2.522","","1.197","","","","","","","3.012","","","1.091","","","","","","",
"Cambodge","KHM","Chômage dans la population avec un niveau d’études supérieur, femmes (% de la population active dans cette catégorie)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.994","","2.826","","","","5.11","1.262","","","","2.144","","1.038","","0.914","","","0.982","","","","","","",
"Cambodge","KHM","Chômage, jeunes (% de la population active âgée de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.404","0.954","","","5.343","3.59","","1.461","","","","2.071","1.339","0.803","0.967","0.599","1.581","0.754","1.045","0.731","1.115","0.383","","1.657","0.476","0.833","","0.737","","",
"Cambodge","KHM","Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.463","0.852","","","5.277","3.58","","1.323","","","","1.719","1.147","0.832","0.943","0.423","1.378","0.706","1.011","0.957","1.214","0.449","","1.549","0.557","0.965","","0.41","","",
"Cambodge","KHM","Emploi à temps partiel, hommes (% de l'emploi total chez les hommes)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.47","","18.99","11.3","19.74","","37.34","","","","31.52","33.19","36.89","33.83","32.74","23.11","25.63","23.77","22.98","22.54","20.93","","20.25","23.12","27.26","","22.55","","",
"Cambodge","KHM","Population active avec un niveau d’études intermédiaire, femmes (% de la population active féminine)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.336","71.605","","75.392","61.569","67.649","","72.438","","","","72.691","64.428","73.639","74.57","66.446","77.588","72.042","83.714","77.257","80.391","83.197","","63.33","78.964","81.28","","79.356","","",
"Cambodge","KHM","Taux d’activité, hommes (% de la population masculine âgée de 15 ans et plus) (estimation nationale)","SL.TLF.CACT.MA.NE.ZS","","","86.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.69","","","82.984","78.342","81.21","82.585","80.996","85.434","","85.922","85.92","","","88.589","86.78","87.164","88.591","89.394","74.763","86.648","86.697","86.362","88.071","86.841","","82.937","87.873","85.82","","86.098","","",
"Cambodge","KHM","Taux d’activité, femmes (% de la population féminine âgée de 15 ans et plus) (estimation nationale)","SL.TLF.CACT.FE.NE.ZS","","","58.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.07","","","76.948","70.53","73.49","78.58","76.509","81.876","","75.504","75.5","","","74.715","72.041","77.381","81.277","81.838","61.43","74.452","74.349","73.423","75.914","76.41","","69.939","77.126","73.729","","74.328","","",
"Cambodge","KHM","Population active avec un niveau d’études supérieur (% de la population active totale)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.591","75.301","","84.97","60.885","58.36","","90.425","","","","79.286","73.654","65.816","89.339","93.944","94.602","80.576","63.07","75.948","79.66","79.194","","73.021","82.076","78.518","","80.525","","",
"Cambodge","KHM","Taux de participation à la population active, hommes (% de la population masculine de 15 à 64 ans) (estimation modélisée OIT)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.539","84.557","84.545","84.502","83.937","84.022","83.961","83.88","83.879","84.051","84.927","85.78","86.615","87.436","88.077","88.705","89.32","89.922","88.336","88.786","90.093","90.748","89.657","88.43","88.426","88.575","89.707","88.859","89.507","90.143","89.975","88.048","90.235","90.272","90.317","90.382",
"Cambodge","KHM","Taux de participation à la population active, hommes (% de la population masculine de 15 à 24 ans) (estimation modélisée OIT)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.262","63.944","63.685","63.594","65.544","64.772","64.883","65.099","65.193","64.889","68.789","72.448","75.847","78.994","79.384","79.757","80.114","80.466","77.936","78.144","79.763","79.224","77.256","75.184","74.288","74.038","76.086","74.168","74.084","74.05","73.753","69.709","73.663","73.336","72.961","72.896",
"Cambodge","KHM","Enfants actifs économiquement, total (% des enfants âgés de 7 à 14 ans)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3","","","48.9","","","","","34.5","","","11.5","","","","","","","","","","","","","",
"Cambodge","KHM","Nombre moyen d’heures travaillées chez les enfants, emploi uniquement, garçons, 7-14 ans (heures par semaine)","SL.TLF.0714.WK.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6","","","","","","","","","","","","","",
"Cambodge","KHM","Nombre moyen d’heures travaillées chez les enfants, études et emploi, 7-14 ans (heures par semaine)","SL.TLF.0714.SW.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","","","","","","","","","","","","","",
"Cambodge","KHM","Nombre moyen d’heures travaillées chez les enfants, études et emploi, filles, 7-14 ans (heures par semaine)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","","","","","","","","","","","","","",
"Cambodge","KHM","Employés, services, hommes (% d’emploi des hommes)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0883417723402","18.3940535519796","18.5595454002605","18.8790504290284","19.2835204968662","19.7147511050083","22.1559539832897","23.6070694129523","20.3261409978491","20.6956472092644","21.5222129098036","22.6489558860741","23.6007334454105","24.8268396942825","25.8966330693446","26.957968169191","28.0843682865647","28.1749411070667","26.8191530799191","29.6536113516794","28.1872059550408","30.0115348018674","31.8687071177306","31.3326707059072","34.0457050672711","38.0788077018566","37.2558579500461","36.1979879569421","35.105184162799","38.5493868820371","36.0898580713182","36.2664568006626","36.5282475859392","36.7236301361334","36.8731964147231",
"Cambodge","KHM","Emploi d’enfants dans le secteur des services, filles (% des filles économiquement actives de 7 à 14 ans travaillant dans ce secteur)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","","","","","","","15.09","","","24.96","","","","","","","","","","","","","",
"Cambodge","KHM","Emploi d’enfants dans le secteur manufacturier (% des enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.04","","","4.18","","","","","2.98","","","13.3","","","","","","","","","","","","","",
"Cambodge","KHM","Employés, industrie, hommes (% d’emploi des hommes)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.54554832054671","8.35906889902071","7.98493555115497","6.01935984585766","5.92099831975477","5.75681383611594","9.28541195791113","5.0757157369007","6.76699153717824","7.29544621100718","9.16479235826495","9.66148351957924","10.5462599100129","11.4765322620156","12.7364821726674","13.9686387887772","15.1357574448487","15.448957451277","15.205754575224","16.6275107785856","15.9911221248008","17.8519193142269","19.919190430923","23.9140612481393","25.4835569610997","27.0413383270117","26.4595093867411","26.1759694940692","25.8775141658444","26.9379146600556","29.1070125864808","29.8741359596746","30.4345241146819","31.2645782934945","31.8210474115419",
