"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Libye","LBY","Taux de mortalité infantile (pour 1 000 naissances vivantes)","SP.DYN.IMRT.IN","193.8","182.2","171.1","160.3","150.2","140.4","131","122.1","113.7","105.8","98.5","91.7","85.3","79.7","74.6","69.9","65.7","62","58.7","55.7","53","50.4","48","45.7","43.5","41.3","39.2","37.2","35.2","33.3","31.6","30","28.6","27.3","26.2","25.2","24.3","23.5","22.8","22.1","21.5","20.9","20.3","19.6","18.8","17.9","16.8","15.7","14.7","13.8","13","13.9","11.9","11.4","11","10.6","10.2","9.8","9.5","9.2","9","8.7","8.4","15.9","","",
"Libye","LBY","Taux de mortalité, brut (pour 1 000 personnes)","SP.DYN.CDRT.IN","25.552","24.049","22.504","21.166","19.558","18.32","17.025","15.728","14.538","13.449","12.519","11.699","10.959","10.228","9.57","9.037","8.518","8.076","7.652","7.292","6.965","6.608","6.421","6.108","5.68","5.426","5.19","4.991","4.837","4.69","4.569","4.464","4.369","4.309","4.282","4.287","4.329","4.418","4.533","4.649","4.761","4.778","4.779","4.743","4.699","4.646","4.593","4.594","4.596","4.605","4.627","5.827","4.971","4.97","5.443","5.372","5.38","5.094","5.007","5.165","5.544","5.842","4.808","6.654","","",
"Libye","LBY","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","SP.ADO.TFRT","84.884","84.987","85.22","85.966","86.355","85.8","85.481","85.425","86.543","88.007","88.005","86.846","85.159","84.251","84.589","85.97","86.809","86.787","86.519","85.968","84.597","64.942","56.725","47.836","39.657","32.918","27.29","22.627","18.776","16.41","14.209","12.346","11.135","10.073","9.845","10.205","11.253","11.733","12.476","13.164","13.815","8.952","5.758","5.814","5.884","5.979","6.023","6.125","6.224","6.328","6.685","7.045","7.154","7.52","7.619","7.413","7.23","7.016","6.797","6.61","6.445","6.274","6.079","5.923","","",
"Libye","LBY","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1","30.9","33.2","35.7","37.4","39.4","39.8","37.9","35.1","","",
"Libye","LBY","Refugees under the mandate of the UNRWA by country or territory of origin","SM.POP.RRWA.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Other people in need of international protection by country or territory of origin","SM.POP.OPIP.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Forcibly displaced people","SM.POP.FDIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11107","167012","63609","91153","436850","536768","342532","242002","243195","456448","322188","199882","179717","175674","384010","",
"Libye","LBY","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.158","16.335","16.467","16.73","16.697","16.55","16.458","16.463","16.469","16.458","16.36","16.337","16.09","15.912","15.61","15.715","15.678","15.918","16.14","16.165","16.347","15.93","16.182","16.163","16.52","16.395","15.931","15.759","15.958","16.587","16.674","15.979","15.503","15.843","15.451",
"Libye","LBY","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, femmes (% de la population féminine de 15-24 ans)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Chômage dans la population avec un niveau d’études intermédiaire, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Chômage dans la population avec un niveau d’études supérieur, femmes (% de la population active dans cette catégorie)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libye","LBY","Chômage, jeunes (% de la population active âgée de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","","","","","","","","","","","","","",
"Libye","LBY","Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.84","","","","","","","","","","","","","",
"Libye","LBY","Emploi à temps partiel, hommes (% de l'emploi total chez les hommes)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
