"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Madagascar","MDG","Stock international de migrants, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23917","","","","","21177","","","","","23541","","","","","26058","","","","","28905","","","","","32075","","","","","35563","","","","38625","",
"Madagascar","MDG","Refugees under the mandate of the UNHCR by country or territory of asylum","SM.POP.RHCR.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","28","50","34","0","","","","","","","","","5","5","11","11","6","22","39","39","113","112","165","119","49","83","",
"Madagascar","MDG","Internally displaced people (IDP) by country or territory of asylum / origin","SM.POP.IDPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","1300","","","180","",
"Madagascar","MDG","Travail des enfants, travail salarié (en % de toutes les formes d’emploi chez les enfants de 7 à 14 ans)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.99","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Chômage (% de la population active) (estimation nationale)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.35","","5.01","","2.62","","","","","4.28","","0.599","","","1.785","","","","","","","3.186","","","",
"Madagascar","MDG","Chômage, femmes (% de la population active féminine) (estimation nationale)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.88","5.4","","6.22","","3.49","","","","","5.31","","0.627","","","1.801","","","","","","","3.457","","","",
"Madagascar","MDG","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","SL.UEM.NEET.MA.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.808","16.818","16.826","16.864","17.057","17.396","16.765","15.934","16.395","16.776","17.194","17.529","17.767","18.029","18.328","19.096","19.126","18.558","18.42","18.498","18.576",
"Madagascar","MDG","Chômage dans la population avec un niveau d’études intermédiaire, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.025","","","","","","","","","","","1.591","","","4.294","","","","","","","","","","",
"Madagascar","MDG","Chômage dans la population avec un niveau d’études de base, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.097","","24.78","","12.36","","","","","","","0.502","","","1.159","","","","","","","","","","",
"Madagascar","MDG","Chômage, total des jeunes (% de la population active âgée de 15 à 24 ans) (estimation modélisée OIT)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.694","8.788","8.826","8.638","8.629","8.636","8.533","8.477","8.415","8.407","7.802","7.645","6.875","4.649","2.273","2.615","2.967","3.364","3.99","4.78","3.217","1.01","1.782","2.538","3.305","3.583","3.878","4.183","4.485","5.874","6.056","5.584","5.43","5.46","5.247",
"Madagascar","MDG","Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation modélisée OIT)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.192","7.261","7.289","7.156","7.149","7.152","7.075","7.032","6.983","6.973","6.438","7.082","7.273","5.112","2.802","3.147","3.499","3.901","4.556","5.413","3.62","1.03","1.66","2.281","2.913","3.264","3.627","3.999","4.37","5.872","6.08","5.693","5.545","5.571","5.304",
"Madagascar","MDG","Emploi à temps partiel, total (% de l'emploi total)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.71","","49.55","","","45.3","","","","","","","36.55","","","",
"Madagascar","MDG","Population active avec un niveau d’études intermédiaire, hommes (% de la population active masculine)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.256","","","","","","","","","","","88.261","","","78.178","","","","","","","","","","",
"Madagascar","MDG","Taux de participation à la population active, hommes (% de la population masculine âgée de 15 ans et plus) (estimation modélisée OIT)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.607","88.564","88.483","88.413","88.383","88.379","88.419","88.482","88.564","88.643","88.71","88.767","88.938","88.947","88.948","88.908","88.978","89.031","89.069","89.089","89.091","89.072","89.034","88.985","88.921","88.851","88.539","88.264","88.035","87.831","87.04","87.271","88.083","88.081","88.051","88.094",
"Madagascar","MDG","Taux de participation à la population active, femmes (% de la population féminine âgée de 15 ans et plus) (estimation modélisée OIT)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.871","83.848","83.824","83.804","83.79","83.788","83.803","83.828","83.861","83.898","83.936","83.976","84.029","84.064","84.094","84.114","84.104","84.08","84.04","83.983","83.908","83.812","83.696","83.566","83.414","83.249","83.137","83.044","82.971","82.916","82.152","82.807","82.83","82.866","82.915","82.913",
"Madagascar","MDG","Population active avec un niveau d’études de base, femmes (% de la population active féminine)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.538","","","","","","","","","","","94.308","","","87.108","","","","","","","","","","",
"Madagascar","MDG","Taux de participation à la population active, total (% de la population totale de 15 à 64 ans) (estimation modélisée OIT)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.495","87.42","87.351","87.295","87.258","87.247","87.271","87.319","87.382","87.448","87.507","87.567","87.636","87.679","87.701","87.692","87.713","87.717","87.705","87.674","87.624","87.552","87.463","87.363","87.258","87.156","86.973","86.817","86.693","86.595","85.827","86.272","86.74","86.793","86.841","86.886",
"Madagascar","MDG","Taux d’activité des 15-24 ans (%) (estimation nationale)","SL.TLF.ACTI.1524.NE.ZS","","","","","","","","","","","","","","","","72.24","","","","","","","","","","","","","","","","","","65.01","","","","","","","","72.576","","67.58","","73.34","","","","","","","90.018","","","74.692","","","","","","","61.59","","","",
