"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Malte","MLT","Taux de mortalité infantile (pour 1 000 naissances vivantes)","SP.DYN.IMRT.IN","35.8","34.5","33.4","32.5","31.6","30.7","29.6","28.5","27.3","26.1","24.9","23.7","22.5","21.3","20.1","19","18","17.1","16.3","15.6","15","14.4","13.8","13.3","12.8","12.3","11.7","11.3","10.8","10.4","10","9.6","9.3","8.9","8.6","8.2","7.9","7.6","7.2","6.9","6.7","6.5","6.3","6.2","6.1","6.1","6","6","6","6","6","6","6","5.9","5.9","5.8","5.7","5.6","5.5","5.4","5.2","5.1","5","4.8","","",
"Malte","MLT","Taux de mortalité, brut (pour 1 000 personnes)","SP.DYN.CDRT.IN","8.6","9","8.8","9.2","8.6","9.4","9.1","9.6","9.4","9.9","10.1","10.2","9.6","9.7","9.1","9.5","9.7","9.4","10.5","9.5","10.2","9.6","9.4","9.5","8.8","8.4","8.3","8.4","7.8","7.4","7.8","7.9","7.9","7.3","7.2","7.2","7.3","7.5","7.8","7.9","7.5","7.4","7.6","7.9","7.5","7.8","7.9","7.6","7.9","7.8","7.3","7.8","8.1","7.6","7.5","7.7","7.4","7.6","7.6","7.3","7.9","8","8","7.3","","",
"Malte","MLT","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","SP.ADO.TFRT","17.679","15.234","15.027","14.796","14.677","13.565","13.708","13.754","13.659","13.689","14.063","14.071","13.812","14.566","14.809","16.102","15.52","14.973","14.02","13.917","13.273","13.366","14.849","14.934","15.757","13.963","12.502","11.661","11.055","10.268","6.46","10.282","12.604","12.364","10.928","10.937","14.363","16.185","16.621","11.281","16.938","15.698","8.813","15.037","20.721","20.715","17.217","16.86","18.772","19.558","18.377","17.976","16.507","14.189","13.424","12.707","13.164","12.503","12.282","11.578","11.026","10.546","10.495","10.398","","",
"Malte","MLT","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.6","5","4.3","4.4","5.2","7.2","8.2","9.2","","",
"Malte","MLT","Refugees under the mandate of the UNRWA by country or territory of origin","SM.POP.RRWA.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malte","MLT","Other people in need of international protection by country or territory of origin","SM.POP.OPIP.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malte","MLT","Forcibly displaced people","SM.POP.FDIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7425","8396","8996","10800","6271","7642","8809","9343","10439","12589","13215","13009","13168","12539","9284","",
"Malte","MLT","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malte","MLT","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.252","6.249","6.247","6.245","6.243","6.241","6.238","6.236","6.234","6.233","6.702","6.27","6.417","6.928","6.272","6.107","5.779","5.57","6.513","6.716","5.986","5.606","6.099","6.131","5.389","4.386","3.844","4.12","3.681","4.66","3.883","3.705","3.677","3.183","2.946",
"Malte","MLT","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.221","11.904","10.337","11.542","8.27","9.881","9.534","10.175","10.818","9.915","10.269","10.538","8.758","8.585","7.365","9.113","9.638","11.61","6.177","7.882","7.629","",
