"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Mongolie","MNG","Survie jusqu’à 65 ans, femmes (% de cohorte)","SP.DYN.TO65.FE.ZS","39.190744","40.09623","40.987037","41.959663","42.90816","43.854317","44.767141","45.864047","46.857197","47.813154","48.807073","49.80112","50.762594","51.617784","52.385381","53.012416","53.509773","53.894901","54.198705","54.478441","54.772015","55.1031","55.465214","55.844781","56.24186","56.647513","57.090581","57.587669","58.157858","59.1185","59.988014","61.32127","62.139801","62.609688","62.487987","61.854824","61.372699","61.119686","61.997275","63.429412","65.479973","66.797951","67.750151","68.241901","69.226591","70.571759","72.345429","73.801221","74.453641","74.468094","74.569524","75.123584","76.07477","77.021742","77.733442","78.789103","79.864669","80.875052","81.63143","81.845723","81.373446","77.768333","83.016925","83.325549","","",
"Mongolie","MNG","Espérance de vie à la naissance, femmes (années)","SP.DYN.LE00.FE.IN","46.902","47.632","48.351","49.091","49.799","50.483","51.099","51.833","52.474","53.083","53.69","54.275","54.823","55.304","55.725","56.066","56.337","56.551","56.727","56.894","57.08","57.303","57.567","57.865","58.195","58.548","58.93","59.346","59.797","60.558","61.397","62.525","63.257","63.755","63.925","63.979","64.018","64.228","64.747","65.476","66.13","66.26","66.47","66.5","67.77","68.61","69.38","70.23","70.98","71.79","72.26","73.76","74.32","75.01","75.49","75.84","75.1","75.44","75.78","75.96","76.22","76.47","76.7","76.85","","",
"Mongolie","MNG","Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3","","59.9","","67.36821006","","","69","","65.97498227","","","55.2","","","54.9059143","","54.58329359","","","","","48.1348813","","","","","","","",
"Mongolie","MNG","Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","SP.DYN.AMRT.MA","447.099","436.308","425.625","414.674","404.553","395.113","387.818","379.187","371.484","363.409","355.921","348.051","339.222","330.798","323.879","319.715","316.66","314.951","314.247","314.098","314.174","314.413","314.983","315.821","317.171","318.81","320.467","321.58","322.013","322.015","321.118","314.731","313.984","317.035","326.97","333.332","336.319","331.071","321.94","314.871","314.582","321.112","334.39","348.288","363.366","366.587","355.737","335.232","318.457","321.89","332.346","340.136","334.942","323.144","312.186","303.857","296.268","290.555","285.067","284.507","298.563","321.564","276.069","273.791","","",
"Mongolie","MNG","Prevalence of severe food insecurity in the population (%)","SN.ITK.SVFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.6","0.7","","",
"Mongolie","MNG","Stock international de migrants (% de la population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","0.3","","","","","0.3","","","","","0.4","","","","","0.6","","","","","0.7","","","","","0.6","","","","0.6","",
"Mongolie","MNG","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","17","25","25","57","277","324","443","655","866","1103","1329","1490","1720","1982","2111","2054","2162","2198","2282","2227","2249","2364","2277","2508","2413","2393","2501","",
"Mongolie","MNG","Migration nette","SM.POP.NETM","10334","10440","9049","3687","4599","5610","5837","5139","3535","2366","3263","4238","4999","5647","6153","6556","6577","5354","1833","-1296","-1268","-1615","-2132","-2522","-2452","-1719","354","1855","2459","-9757","-11881","-11427","-8404","-5429","-5449","-7346","-8626","-9132","-10315","-13481","-11241","-10244","-8934","-7986","-8148","-8924","-11934","-15220","-17277","-15007","-6444","-505","351","1505","2921","4307","5633","6831","7811","8660","0","0","0","0","83","79",
"Mongolie","MNG","Asylum-seekers by country or territory of asylum","SM.POP.ASYS.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","5","0","0","0","5","11","5","5","5","0","5","0","5","10","5","0","0","15","",
"Mongolie","MNG","Chômage, total (% de la population) (estimation modélisée OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.665","5.857","5.859","5.709","5.5","5.53","5.608","5.752","5.844","5.992","6.111","6.2","6.768","6.851","7.015","7.193","7.2","5.565","5.86","6.549","4.769","3.905","4.231","4.798","4.861","7.235","6.359","5.377","9.024","6.413","7.871","5.954","5.178","5.158","5.233",
"Mongolie","MNG","Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.564","6.783","6.785","6.611","6.371","6.273","6.229","6.255","6.224","6.248","6.24","6.2","6.354","6.562","6.843","7.136","7.146","5.175","6.173","5.891","4.422","3.515","4.468","4.399","4.248","5.873","5.638","4.806","8.038","6.271","7.393","4.888","4.345","4.329","4.498",
"Mongolie","MNG","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, hommes (% de la population masculine de 15-24 ans)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.502","","","16.723","","17.761","16.71","16.028","15.03","15.849","15.208","15.783","13.95","18.684","17.733","16.287","17.651","16.763","16.238","13.414","13.358","8.043","",
"Mongolie","MNG","Chômage dans la population avec un niveau d’études intermédiaire (% de la population active dans cette catégorie)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.747","","","8.546","","6.488","7.073","7.438","5.403","4.136","4.19","5.324","5.012","8.347","7.14","6.204","11.595","8.3","9.221","6.597","6.564","7.062","",
"Mongolie","MNG","Chômage dans la population avec un niveau d’études de base, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.621","","","6.338","","5.301","3.55","5.984","4.428","3.795","3.066","4.26","3.463","4.657","3.324","3.252","6.404","4.643","6.469","5.347","4.52","5.786","",
"Mongolie","MNG","Chômage dans la population avec un niveau d’études supérieur, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.108","","","7.498","","4.608","7.836","6.367","4.569","3.851","5.85","4.51","5.33","6.009","7.049","4.892","7","4.91","7.447","5.272","3.784","4.194","",
"Mongolie","MNG","Chômage, jeunes hommes (% de la population active masculine de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.068","","","10.737","","10.63","9.653","15.233","10.56","7.746","8.978","11.854","12.208","19.945","14.982","15.822","20.969","13.975","15.265","10.748","12.426","13.02","",
"Mongolie","MNG","Population active, femmes (% de la population active)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8379497843762","45.8394482445189","45.8886283299827","45.9684962722644","46.0535130792352","46.1459589187727","46.2212336884828","46.2980435440514","46.3673933150199","46.4334229993275","46.430657140314","46.3829464692711","46.3535722496105","46.3509601481141","46.3971114366797","46.4280259876512","46.4866625707429","46.58291379641","46.5023906046358","46.4252301351163","45.9884694291669","45.8323051785655","45.9070175856509","45.9504288934662","45.7586484747728","45.6452157790121","45.4530867855347","45.3541826151497","44.0087599659487","44.8046944991937","44.837440256634","44.1174670844951","44.3455289116566","43.8666382526501","43.9540694923697","43.8715863177495",
"Mongolie","MNG","Population active avec un niveau d’études intermédiaire (% de la population active totale)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","60.286","","","61.915","","57.896","57.428","57.861","59.005","56.631","57.334","58.727","58.71","57.765","58.648","58.624","64.118","61.747","56.894","60.306","57.206","59.539","",
"Mongolie","MNG","Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.22","","100","","37.07","60.108","58.54","57.86","59.961","60","58.395","58.47","59.363","60.59","60.668","59.488","60.091","59.816","58.726","59.558","59.473","65.358","63.172","60.996","62.268","60.451","61.834","",
"Mongolie","MNG","Taux d’activité des femmes par rapport aux hommes (%) (estimation nationale)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.0606776989756","","100","","94.6222455403988","87.0541816826146","96.4130070398927","94.6404569892473","86.1278294369749","86.2229102167183","85.7722932462012","84.809827545476","83.7438651727012","82.6691102465111","84.2701900956532","82.3988038022002","82.3810387568777","81.6906306224581","81.4647210934614","82.2670163454501","77.0844110735031","79.931203661829","79.2127695607994","77.5014484356894","78.5753033547466","76.5847780004065","76.7576403695807","",
"Mongolie","MNG","Population active avec un niveau d’études de base, hommes (% de la population active masculine)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","62.426","","","59.837","","60.379","59.125","60.976","60.297","64.286","59.063","55.916","55.243","54.522","55.534","56.52","63.916","62.514","60.621","58.999","54.861","49.98","",
"Mongolie","MNG","Population active avec un niveau d’études supérieur, femmes (% de la population active féminine)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","76.343","","","73.61","","71.232","76.343","72.959","72.788","70.838","68.874","69.875","67.676","66.017","67.192","62.23","68.349","68.11","66.933","67.574","69.072","71.154","",
