"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Nicaragua","NIC","Taux de mortalité infantile (pour 1 000 naissances vivantes)","SP.DYN.IMRT.IN","134","133.6","133.3","132.8","132.1","131.2","130.2","129","127.4","125.6","123.7","121.2","128.5","115.2","111.4","107.2","102.6","97.6","92.6","87.6","82.8","78.3","74.2","70.5","67.3","64.5","61.9","59.6","57.3","55.1","52.9","50.5","48.1","45.7","43.3","41","38.8","36.6","37.3","32.6","30.8","29.2","27.6","26.2","24.9","23.6","22.5","21.4","20.4","19.4","18.5","17.6","16.8","16","15.3","14.6","13.9","13.3","12.7","12.1","11.6","11.1","10.7","10.3","","",
"Nicaragua","NIC","Taux de mortalité, brut (pour 1 000 personnes)","SP.DYN.CDRT.IN","18.812","18.029","17.447","16.841","16.227","15.517","14.902","14.396","14.025","13.685","13.368","13.097","16.771","12.539","12.296","12.051","11.824","11.734","12.901","14.109","10.662","10.408","10.126","10.739","10.918","10.67","10.051","10.029","8.897","7.982","7.656","7.255","7.048","6.825","6.6","6.446","6.297","6.229","6.912","6.234","6.145","5.982","5.735","5.556","5.401","5.21","5.115","5.104","5.097","5.127","5.09","5.051","4.964","4.982","4.964","4.993","4.959","4.949","4.832","4.95","6.663","6.618","4.691","4.586","","",
"Nicaragua","NIC","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","SP.ADO.TFRT","164.397","164.24","164.468","164.256","162.864","161.773","161.853","163.389","165.42","166.168","164.773","166.69","168.594","165.774","165.181","164.699","164.144","162.575","162.028","163.216","162.545","161.629","159.758","157.73","155.238","153.189","152.171","151.238","150.775","150.025","148.921","147.864","143.407","138.844","134.215","130.277","125.032","119.504","117.749","116.501","114.127","111.467","109.175","108.676","108.584","110.059","109.741","108.877","108.445","108.147","108.235","106.854","105.702","104.23","103.165","102.074","100.938","99.952","98.74","97.665","96.514","95.052","94.053","93.452","","",
"Nicaragua","NIC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Refugees under the mandate of the UNRWA by country or territory of origin","SM.POP.RRWA.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Other people in need of international protection by country or territory of origin","SM.POP.OPIP.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Forcibly displaced people","SM.POP.FDIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","90","135","199","330","451","663","729","447","448","514","1539","1536","1735","","",
"Nicaragua","NIC","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.61","","","","","12.67","","10.48","","","","","","","","","","","","","",
"Nicaragua","NIC","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.808","7.705","7.73","7.557","7.292","6.987","6.967","7.074","7.048","7.047","7.087","7.391","7.476","5.6","5.154","5.493","4.807","5.773","7.627","7.325","6.182","4.851","5.163","3.842","4.236","3.665","3.181","5.162","5.436","6.274","6.142","4.9","4.612","4.91","4.963",
"Nicaragua","NIC","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.076","","","","22.817","","","","","","","15.025","","24.488","","","","","","","","","","","",
"Nicaragua","NIC","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, femmes (% de la population féminine de 15-24 ans)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.195","","","","36.134","","","","","","","23.168","","40.068","","","","","","","","","","","",
"Nicaragua","NIC","Chômage dans la population avec un niveau d’études intermédiaire, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.63","","","","","","8.905","","","","6.182","","","","","","","9.435","","7.647","","","","","","","","","","","",
"Nicaragua","NIC","Chômage dans la population avec un niveau d’études supérieur, femmes (% de la population active dans cette catégorie)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.72","","","","","","5.349","","","","7.18","","","","","","","7.258","","7.101","","","","","","","","","","","",
"Nicaragua","NIC","Chômage, jeunes (% de la population active âgée de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.56","","","","","","","","","","","","5.966","","","","","8.6","","","","","","7.939","","8.461","","","","","","","","","","","",
"Nicaragua","NIC","Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation nationale)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.44","","","","","","","","","","","","7.443","","","","","9.68","","","","","","10.153","","12.949","","","","","","","","","","","",
