"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Pérou","PER","Risque de de dépenses appauvrissantes en cas de recours nécessaire à la chirurgie (% de la pop. à risque)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6","36","35.6","35.2","33.7","28.6","27.1","23.4","21.4","19.2","17.6","15.7","15.7","15.4","14.9","13.8","12.5","16.7","11.2","10.7","","","",
"Pérou","PER","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7","","","","","24","","20.7","","","16.7","","","","","11.7","","","","","8.2","7.6","7.1","","","",
"Pérou","PER","Nombre de décès maternels","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","1300","1300","1300","1300","1300","1300","1400","1300","1300","1300","1200","1100","980","890","790","730","680","650","640","670","640","610","580","540","530","500","480","450","420","400","390","370","360","360","330","410","770","440","280","","",
"Pérou","PER","Personnel chirurgical spécialisé (pour 100 000 hab.)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.88","","","","","","","","","","","",
"Pérou","PER","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.41143894195557","","","","","","","","","","2.17280006408691","","","","","2.5","","","","","","","","","","1.68449997901917","","","","","1.4132000208","","1.5","1.2999999523","1.3571000099","","1.4700000286","","","","","","","","","","","","","","","1.55","1.55","1.55","1.6","1.6","1.64","1.63","1.61","1.6","1.67","1.63","1.59","1.56","","",
"Pérou","PER","Couverture des traitements antirétroviraux chez les femmes enceintes (% des femmes enceintes séropositives)","SH.HIV.PMTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22","42","27","14","36","55","51","56","40","59","68","68","69","65","69","70","81","90","93","90","96","88","91","",
"Pérou","PER","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","0.28","0.28","0.27","0.26","0.25","0.25","0.23","0.23","0.23","0.23","0.22","0.21","0.2","0.21","0.2","0.2","0.18","0.17","0.16","0.15","0.15","0.15","0.17","0.17","0.18","0.2","0.21","0.21","0.21","0.2","0.21","0.2","0.2","0.19","",
"Pérou","PER","Couverture de la thérapie antirétrovirale (% des personnes vivant avec le VIH)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2","3","2","6","9","14","16","23","30","32","39","39","44","44","52","56","62","68","69","73","77","76","80","",
"Pérou","PER","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0009270928098","45.3885887063697","45.7725638287703","46.1533060280871","46.5304164073257","46.9035186602477","47.2734616506688","47.6394614392539","47.949856785304","48.2349363755422","48.5190810583611","48.8015002867777","49.0829918622414","49.3627748732011","49.6412563318218","49.9188248807685","50.1947177626241","50.4693247094818","50.7453137052622","51.022261569147","51.3005036126234","51.5796260705202","50.9317018204268","50.1854352404262","49.4283962319206","",
"Pérou","PER","People using at least basic drinking water services, urban (% of urban population)","SH.H2O.BASW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.2875928759715","91.5582137559065","91.8289828690085","92.0999002152778","92.3709657947141","92.6421796073176","92.9135416530882","93.185051932026","93.4567104441309","93.728517189403","94.0004721678422","94.2725753794486","94.544826824222","94.8172265021627","95.0897744132704","95.3624705575453","95.6353149349873","95.9083075455965","96.1814483893728","96.4547374663163","96.7281747764269","97.0017603197046","97.2754940961495","97.5493761057615","97.8234063485407","",
"Pérou","PER","Mortalité prématurée par maladies cardiovasculaires, cancer, diabète et maladies respiratoires chroniques (entre 30 et 70 ans) (%)","SH.DYN.NCOM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","9.3","9.6","9.5","9.4","9.4","9.2","8.7","8.7","9.5","9.7","9.6","9.2","8.9","9","8.6","8.3","8.9","9.7","10.7","12.1","12.3","","","","",
"Pérou","PER","Taux de mortalité infantile, moins de 5 ans, filles (pour 1000 naissances vivantes)","SH.DYN.MORT.FE","218.2","212.3","205.7","198.7","191.5","184.5","177.9","171.9","166.5","161.6","188.7","152.7","148.2","143.6","139.5","135.5","131.8","128.7","126","123.5","120.8","118","114.6","110.4","105.6","100.2","94.7","89.4","84.4","79.9","75.8","71.8","67.8","63.4","59","54.4","49.9","45.7","41.6","38","34.8","31.9","29.5","27.3","25.6","23.9","22.5","21.3","20.2","19.2","18.3","17.6","17","16.5","16.1","15.8","15.6","15.4","15.2","15.1","14.9","14.7","14.5","14.2","","",
"Pérou","PER","Probability of dying among youth ages 20-24 years (per 1,000)","SH.DYN.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","9.6","9.2","8.8","8.4","7.9","7.5","7","6.6","6.3","6","5.7","5.4","5.2","5","4.8","4.6","4.5","4.4","4.3","4.3","4.1","4","3.9","3.8","3.7","3.8","3.9","4.1","4.2","4.3","4.3","4.3","4.2","","",
