"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Pologne","POL","Stock international de migrants, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1127393","","","","","963028","","","","","822627","","","","","724887","","","","","649114","","","","","683663","","","","","738099","","","","1739901","",
"Pologne","POL","Refugees under the mandate of the UNHCR by country or territory of asylum","SM.POP.RHCR.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","2719","810","393","600","600","835","895","937","1011","1295","1586","1822","2491","4585","6786","10037","12761","15299","15537","15834","15897","16428","15730","14057","11738","12225","12495","12658","2771","4875","971129","971478","1008871","",
"Pologne","POL","Internally displaced people (IDP) by country or territory of asylum / origin","SM.POP.IDPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pologne","POL","Travail des enfants, travail salarié (en % de toutes les formes d’emploi chez les enfants de 7 à 14 ans)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pologne","POL","Chômage (% de la population active) (estimation nationale)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.01","14.435","13.339","12.342","10.964","9.935","12.29","14.928","18.435","20.211","19.899","18.822","17.592","13.794","9.551","7.069","8.131","9.578","9.576","10.031","10.293","8.971","7.475","6.141","4.867","3.835","3.267","3.155","3.268","2.811","2.743","2.807","",
"Pologne","POL","Chômage, femmes (% de la population active féminine) (estimation nationale)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.706","15.607","15.987","14.731","13.942","12.991","11.811","13.169","16.676","20.097","21.25","20.792","19.817","19.041","14.819","10.228","7.838","8.547","9.87","10.241","10.762","11.004","9.521","7.644","6.175","4.861","3.821","3.57","3.276","3.282","2.851","2.788","2.998","",
"Pologne","POL","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","SL.UEM.NEET.MA.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.302","13.755","10.744","9.279","11.401","12.428","12.977","13.148","13.895","13.709","12.061","11.011","9.435","8.546","8.372","9.279","11.55","9.802","10.114","10.658","10.636",
"Pologne","POL","Chômage dans la population avec un niveau d’études intermédiaire, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.85","12.81","11.57","9.299","8.242","11.361","13.552","17.63","19.986","19.828","18.694","16.89","13.267","9.238","6.425","7.941","9.674","9.267","9.674","10.164","9.02","6.742","5.372","4.121","3.169","2.77","2.854","3.428","2.653","2.529","3.018","",
"Pologne","POL","Chômage dans la population avec un niveau d’études de base, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","15.05","14.12","15.004","14.422","16.391","19.682","24.126","26.133","26.34","26.932","27.223","22.709","15.76","12.363","15.422","17.333","18.158","19.368","21.113","19.144","11.914","9.778","7.818","6.176","5.859","5.431","4.675","4.312","4.579","6.162","",
"Pologne","POL","Chômage, total des jeunes (% de la population active âgée de 15 à 24 ans) (estimation modélisée OIT)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.524","27.497","29.736","32.025","30.695","28.081","22.378","20.895","28.755","32.91","40.387","43.322","42.659","39.98","36.945","29.538","21.387","17.101","20.471","23.576","25.523","26.322","27.167","23.732","20.686","17.592","14.762","11.686","9.835","10.836","11.817","10.56","11.176","10.662","10.699",
