"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Fédération de Russie","RUS","Taux de mortalité infantile (pour 1 000 naissances vivantes)","SP.DYN.IMRT.IN","36.3","33.9","31.8","29.9","28.2","26.8","25.7","24.7","23.9","23.3","22.8","22.5","22.2","22","21.9","21.9","21.9","21.9","21.9","21.8","21.6","21.4","21.2","20.9","20.5","20","19.4","18.8","18.2","17.7","17.5","17.4","17.5","17.7","17.8","17.7","17.5","17.2","16.8","16.2","15.6","14.8","13.8","12.9","11.9","11","10.2","9.5","9","8.6","8.3","8.1","7.9","7.6","7.2","6.6","6.1","5.6","5.1","4.7","4.4","4.1","3.9","3.7","","",
"Fédération de Russie","RUS","Taux de mortalité, brut (pour 1 000 personnes)","SP.DYN.CDRT.IN","7.51","7.517","7.653","7.389","7.314","7.581","7.659","7.905","8.086","8.535","8.692","8.745","8.985","9.054","9.302","9.717","9.886","10.164","10.395","10.8","11","10.9","10.7","11.1","11.6","11.3","10.4","10.5","10.7","10.7","11.2","11.4","12.2","14.5","15.7","15","14.2","13.8","13.5","14.6","15.3","15.6","16.2","16.4","15.9","16.1","15.1","14.6","14.5","14.1","14.2","13.5","13.3","13","13.1","13","12.9","12.4","12.5","12.3","14.6","16.7","12.9","12.1","","",
"Fédération de Russie","RUS","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","SP.ADO.TFRT","43.278","32.817","17.351","14.167","15.915","20.485","24.06","24.391","26.997","27.573","28.345","29.683","30.833","32.295","34.648","35.424","37.201","39.333","41.776","44.739","47.69","48.078","48.997","50.422","50.041","49.199","48.381","48.366","48.382","51.282","54.529","54.112","50.535","46.924","48.068","44.474","39.439","36.182","33.284","28.554","26.563","26.294","27.621","28.151","28.836","28.351","29.16","30.79","32.193","32.025","30.379","29.466","29.721","28.205","27.168","24.73","21.857","18.242","16.031","14.271","13.801","13.565","13.163","12.974","","",
"Fédération de Russie","RUS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","8.9","7.9","7.1","6","5.5","4.8","3.6","2.8","","",
"Fédération de Russie","RUS","Refugees under the mandate of the UNRWA by country or territory of origin","SM.POP.RRWA.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fédération de Russie","RUS","Other people in need of international protection by country or territory of origin","SM.POP.OPIP.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fédération de Russie","RUS","Forcibly displaced people","SM.POP.FDIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84356","4856","32980","39692","263783","343545","251006","147189","81043","45658","22173","11895","1285938","1291022","182440","",
"Fédération de Russie","RUS","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fédération de Russie","RUS","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.122","5.194","5.938","8.293","9.675","9.996","12.137","13.54","13.167","10.781","9.335","8.139","8.458","8","7.308","7.415","6.353","6.456","8.909","7.916","6.99","5.83","5.817","5.532","5.862","5.787","5.394","4.937","4.661","5.664","4.669","3.777","2.969","2.342","2.057",
"Fédération de Russie","RUS","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.08","14.53","12.97","12.26","12.08","12.29","12.32","12.71","","","","","","10.076","8.701","8.424","",
