"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Sénégal","SEN","Stock international de migrants, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270410","","","","","287654","","","","","231901","","","","","238298","","","","","256092","","","","","266496","","","","","274929","","","","281867","",
"Sénégal","SEN","Refugees under the mandate of the UNHCR by country or territory of asylum","SM.POP.RHCR.EA","","","","6000","30000","50000","61400","59870","57210","68400","67060","80000","82000","84000","90000","46000","38000","5000","5000","5000","5000","4000","5250","5140","5200","5500","5510","5180","5203","53345","58113","71908","71620","73001","72994","66762","65042","57220","60822","21537","20762","20703","20706","20722","20802","20706","20587","20417","33189","22143","20670","20640","14229","14241","14267","14383","14575","14646","14359","14467","14361","14479","11802","11856","11836","",
"Sénégal","SEN","Internally displaced people (IDP) by country or territory of asylum / origin","SM.POP.IDPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24000","24000","24000","22000","24000","24000","24000","24000","22000","18000","8400","8400","8400","8400","8400","5900","",
"Sénégal","SEN","Travail des enfants, travail salarié (en % de toutes les formes d’emploi chez les enfants de 7 à 14 ans)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41","","","","","","","","","","","","","","",
"Sénégal","SEN","Chômage (% de la population active) (estimation nationale)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65","","","","10.03","","","","","2.853","","","","6.757","4.455","4.078","","2.863","","","5.062","4.686","5.775","",
"Sénégal","SEN","Chômage, femmes (% de la population active féminine) (estimation nationale)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64","","","","","3.046","","","","7.302","4.745","3.642","","3.046","","","7.55","5.902","7.089","",
"Sénégal","SEN","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","SL.UEM.NEET.MA.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.818","15.702","15.876","15.907","16.13","16.365","16.295","19.327","22.517","25.752","29.167","25.66","26.708","24.056","21.539","22.91","24.051","25.085","21.333","26.811","26.855",
"Sénégal","SEN","Chômage dans la population avec un niveau d’études intermédiaire, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.13","","","","10.207","8.229","10.355","","9.361","","","11.896","12.71","15.405","",
"Sénégal","SEN","Chômage dans la population avec un niveau d’études de base, femmes (% de la population active féminine dans cette catégorie)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.675","","","","9.821","8.142","4.792","","6.118","","","12.915","10.076","10.676","",
"Sénégal","SEN","Chômage, total des jeunes (% de la population active âgée de 15 à 24 ans) (estimation modélisée OIT)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.956","3.002","2.968","3.015","2.948","2.939","2.891","2.887","2.822","2.811","2.837","2.938","2.913","2.91","2.847","2.9","2.932","2.945","2.942","2.937","2.978","4.29","5.654","6.825","8.045","6.374","5.836","4.92","4.037","4.817","4.661","3.902","3.859","3.868","3.616",
