"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Sierra Leone","SLE","Survie jusqu’à 65 ans, femmes (% de cohorte)","SP.DYN.TO65.FE.ZS","27.405294","28.031657","28.606435","29.139183","29.817809","30.547144","31.28101","32.045303","32.618689","33.113604","33.665461","34.401045","35.042703","35.769018","36.609923","37.455706","38.050332","38.551362","39.046568","39.450979","39.793146","40.005837","40.173955","40.216025","40.148701","39.869728","39.515168","39.681555","39.477271","39.192415","38.923896","38.282504","38.350488","38.122359","37.140477","36.840982","37.523807","37.548825","36.904236","37.676995","38.487705","39.247157","39.897986","40.619245","41.499148","42.621701","44.770008","45.360488","46.154947","46.90825","47.571313","48.319238","49.053914","50.352679","50.506035","52.570946","55.199017","56.972352","59.620562","60.618043","60.770008","61.320798","64.37699","65.134033","","",
"Sierra Leone","SLE","Espérance de vie à la naissance, femmes (années)","SP.DYN.LE00.FE.IN","34.639","35.178","35.686","36.173","36.741","37.33","37.919","38.525","39.012","39.444","39.909","40.468","40.97","41.509","42.104","42.69","43.146","43.542","43.934","44.272","44.574","44.8","45.001","45.13","45.196","45.137","45.033","45.242","45.228","45.163","45.105","44.822","44.978","44.946","44.447","44.38","44.907","45.048","44.799","45.521","46.008","46.612","47.133","47.704","48.382","49.18","50.488","51.029","51.681","52.304","52.891","53.503","54.086","54.954","55.13","56.338","57.857","58.804","60.251","60.871","61.202","61.736","63.019","63.502","","",
"Sierra Leone","SLE","Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.284328722","","","","","","5.253615515","","8.2","","11.01261892","","","16.6","","","","22.52056185","","21.2","","","","","","",
"Sierra Leone","SLE","Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","SP.DYN.AMRT.MA","490.859","485.434","479.433","472.257","464.237","454.401","440.289","430.097","426.102","421.378","421.933","419.504","419.756","417.829","417.537","408.784","404.765","400.962","398.304","395.73","393.691","392.609","392.248","392.898","394.065","397.708","402.059","400.604","403.87","407.773","411.784","430.628","433.049","438.217","459.726","475.918","448.445","453.239","502.097","573.352","442.182","436.666","421.41","414.203","405.317","393.913","373.298","373.021","367.4","363.29","359.154","352.049","348.567","336.117","334.039","314.963","291.195","279.231","261.111","257.721","262.536","263.678","248.374","241.843","","",
"Sierra Leone","SLE","Prevalence of severe food insecurity in the population (%)","SN.ITK.SVFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7","31.9","32.6","32.4","32.2","31.5","31.9","32.3","33.7","","",
"Sierra Leone","SLE","Stock international de migrants (% de la population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","","2.4","","","","","2.2","","","","","2.7","","","","","1.3","","","","","0.8","","","","","0.7","","","","0.6","",
"Sierra Leone","SLE","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","142614","253591","311181","275298","379491","375100","329322","406070","490047","402798","179097","141473","70571","41797","40473","42849","32114","32517","15398","11261","7985","6191","5305","4988","4900","4678","4496","4846","5288","5734","6615","6939","7445","8042","",
"Sierra Leone","SLE","Migration nette","SM.POP.NETM","-3528","-2947","-2658","-2480","-2308","-1851","-2911","-2819","-3743","-4485","-4957","-8162","-8267","-9322","-11473","-13058","-15686","-12399","-13073","-13095","-11641","-12699","-11379","-8783","-8708","-7873","7992","9558","9470","-5079","131587","-238965","-129565","-95476","-77371","-112857","-52110","-48437","-76766","-84926","83013","227791","86578","69185","23897","-1805","-34052","-6042","1182","18145","7983","6895","988","2773","485","-356","4657","1234","-2741","-2238","1292","-1544","-4000","-4000","-11000","-11309",
"Sierra Leone","SLE","Asylum-seekers by country or territory of asylum","SM.POP.ASYS.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458","273","278","136","136","174","228","226","329","207","204","61","66","36","12","12","5","0","0","0","0","0","0","0","0","",
"Sierra Leone","SLE","Chômage, total (% de la population) (estimation modélisée OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.135","4.376","4.401","4.457","4.317","4.313","4.363","4.242","4.288","4.137","4.235","3.909","3.879","3.42","3.734","3.89","4.022","4.132","4.268","4.34","4.388","4.378","4.376","4.678","4.483","4.182","3.656","3.192","3.204","3.509","3.551","3.137","3.092","3.103","3.15",
