"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Îles Turques-et-Caïques","TCA","Homicides intentionnels (pour 100 000 personnes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.71039747098963","7.32734933137937","13.9435981455014","6.643856094077","6.34296406710856","12.134449702706","","","","","9.71015196387824","","","","","7.6133919564514","7.29195150852247","6.99581999755146","","","","11.8860131340445","5.70613409415121","","","","","30.1166440791836","51.8187245834788","30.9436714666195","76.3400403511642","","","",
"Îles Turques-et-Caïques","TCA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Services de voyage (% des exportations de services commerciaux)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9998165902505","95.3176482764181","95.8578474807127","95.1034552127721","95.8862698648285","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de services commerciaux ($ US courants)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614334845","649916368.664429","736688029.180792","600273142.128048","821023788.634874","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de marchandises par le pays déclarant (US $ courants)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de marchandises vers les pays en développement du Moyen-Orient et d’Afrique du Nord (% des exportations totales de marchandises)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de marchandises vers les pays en développement situés à l’extérieur de la région (% des exportations totales de marchandises)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de minerais et de métaux (% des marchandises exportées)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0172566287481359","0.136789552380455","","0.0733157012957708","0.0796844665119655","0.000926143483890614","","0.392181758826588","0.0235785423822608","0.0248897282090127","0.245626824123737","","1.70739062169833","0.831080495089627","","","","","","","","","","","","","",
"Îles Turques-et-Caïques","TCA","Exportations de carburant (% des marchandises exportées)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0426853921073602","0.254008583589767","","","","","0.0717247314212899","0.00156157219542911","0.0189464937483337","1.93235129326059","0.171452697169157","","0.0217987202276068","0.0104815937297078","","","","","","","","","","","","","",
