"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Tonga","TON","Survie jusqu’à 65 ans, femmes (% de cohorte)","SP.DYN.TO65.FE.ZS","57.968192","58.521025","59.321701","60.001795","60.709499","61.340715","62.149543","62.880874","63.659906","64.53286","65.435427","66.335772","67.26667","67.899965","68.721531","69.383127","69.89099","70.290395","70.756632","71.151945","71.520779","71.926571","71.839759","72.590467","72.895741","73.15354","73.475772","73.76145","74.07699","74.329859","74.584167","74.975135","75.335823","75.839325","76.260479","76.699332","77.097306","77.475731","77.830723","78.166572","78.502568","78.708163","79.116665","79.429949","79.722405","79.83842","80.075658","80.332871","80.55731","80.289022","80.961745","81.124134","81.274602","81.415197","81.487023","81.693176","81.816159","81.943446","82.076099","82.21076","82.369117","81.367755","82.468237","82.824568","","",
"Tonga","TON","Espérance de vie à la naissance, femmes (années)","SP.DYN.LE00.FE.IN","61.1","61.483","62.004","62.448","62.901","63.309","63.8","64.251","64.728","65.255","65.805","66.362","66.93","67.325","67.824","68.218","68.515","68.752","69.028","69.266","69.492","69.741","69.704","70.15","70.338","70.5","70.698","70.878","71.075","71.238","71.399","71.637","71.852","72.146","72.385","72.634","72.859","73.073","73.277","73.472","73.671","73.792","74.036","74.226","74.404","74.469","74.614","74.774","74.914","74.777","75.166","75.267","75.361","75.448","75.494","75.623","75.701","75.784","75.873","75.965","76.077","75.693","76.176","76.405","","",
"Tonga","TON","Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","","","","","","","29.2895637300876","","","","","","",
"Tonga","TON","Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","SP.DYN.AMRT.MA","358.294","352.937","347.353","342.502","337.774","332.94","328.685","324.097","320.215","314.704","310.968","309.088","306.119","303.773","300.47","299.541","297.052","296.365","295.281","294.832","295.318","295.228","295.953","295.05","294.429","294.454","294.726","294.731","294.745","294.488","294.834","292.851","291.089","288.421","285.395","282.037","278.565","274.956","271.486","268.029","264.708","261.445","257.995","254.729","251.067","248.267","245.716","242.544","240.045","240.278","235.558","233.586","231.769","230.076","228.606","226.862","225.17","223.141","221.791","220.03","221.665","227.249","215.391","212.575","","",
"Tonga","TON","Prevalence of severe food insecurity in the population (%)","SN.ITK.SVFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4.9","3.7","2.6","","","",
"Tonga","TON","Stock international de migrants (% de la population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","3.3","","","","","3.6","","","","","4.1","","","","","4.3","","","","","3.7","","","","","3.5","","","","3.4","",
"Tonga","TON","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","","","5","0","7","11","5","0","5","0","5","5","5","7","11","16","19","22","25","34","32","32","31","28","30","41","42","",
"Tonga","TON","Migration nette","SM.POP.NETM","-384","-401","-420","-426","-428","-426","-465","-1060","-1078","-1101","-1122","-1138","-1153","-1168","-344","-346","-523","-2273","-2457","-2604","-2708","-2778","-2814","-2840","-2823","-2775","-2650","-1970","-2138","-2280","-2409","-2484","-2524","-2532","-2484","-2422","-2338","-1589","-1665","-1710","-1721","-1766","-1815","-1844","-1876","-1906","-1875","-2057","-2177","-2204","-2097","-2198","-2578","-2637","-2622","-2610","-2591","-1642","-1723","-1778","-1807","-2220","-2218","-2173","-2149","-2150",
"Tonga","TON","Asylum-seekers by country or territory of asylum","SM.POP.ASYS.EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Chômage, total (% de la population) (estimation modélisée OIT)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.348","1.349","1.3","1.688","1.987","2.404","2.877","3.348","3.69","3.966","4.368","4.683","5.18","3.878","2.542","1.09","1.21","1.279","1.419","1.501","1.594","1.638","1.75","1.914","2.022","2.048","2.137","2.248","2.165","2.712","2.111","2.002","1.652","1.965","2.008",
"Tonga","TON","Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.983","1.967","1.879","2.417","2.847","3.443","4.117","4.789","5.279","5.676","6.248","6.699","7.405","5.539","3.626","1.553","1.722","1.819","2.014","2.126","2.254","2.314","2.468","2.694","2.84","2.872","2.989","3.133","2.908","3.662","2.529","2.535","2.31","2.469","2.535",
"Tonga","TON","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation, hommes (% de la population masculine de 15-24 ans)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.617","","25.363","","","13.816","","23.255","","",
"Tonga","TON","Chômage dans la population avec un niveau d’études intermédiaire (% de la population active dans cette catégorie)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.839","","2.169","","","2.121","","2.877","","",
"Tonga","TON","Chômage dans la population avec un niveau d’études de base, hommes (% de la population active masculine dans cette catégorie)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.142","","2.046","","","1.853","","1.238","","",
